H,mae,pr_auc,family
1,0.16139612648985466,0.9991004419781889,lgbm
3,0.28167287090374016,0.9981390496069735,lgbm
5,0.388650979344928,0.9972042232043702,lgbm
10,0.5931210787839024,0.9949572439030722,lgbm
15,0.7663338229412157,0.9926735036400083,lgbm
20,0.8989612230599118,0.9907441853128225,lgbm
30,1.1290807724221552,0.9876554918099961,lgbm
60,1.5910883870141939,0.9800117639084854,lgbm
120,2.2220144968994977,0.9681585026695598,lgbm
